academic_year,jae_course_code,course_name,url
2018,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,-
2018,C58,DIPLOMA IN FINANCIAL INFORMATICS,-
2018,C59,DIPLOMA IN INTERACTION DESIGN,-
2018,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,-
2018,C61,DIPLOMA IN ANIMATION,-
2018,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,-
2018,C63,DIPLOMA IN VISUAL COMMUNICATION,-
2018,C64,DIPLOMA IN SPATIAL DESIGN,-
2018,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,-
2018,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,-
2018,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,-
2018,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,-
2018,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,-
2018,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,-
2018,C72,DIPLOMA IN ORAL HEALTH THERAPY,-
2018,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,-
2018,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,-
2018,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,-
2018,C78,DIPLOMA IN BUSINESS INFORMATICS,-
2018,C80,DIPLOMA IN INFOCOMM AND SECURITY,-
2018,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,-
2018,C83,DIPLOMA IN INDUSTRIAL DESIGN,-
2018,C85,DIPLOMA IN INFORMATION TECHNOLOGY,-
2018,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,-
2018,C89,DIPLOMA IN ELECTRONIC SYSTEMS,-
2018,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,-
2018,C94,DIPLOMA IN BUSINESS MANAGEMENT,-
2018,C96,DIPLOMA IN BANKING & FINANCE,-
2018,C97,DIPLOMA IN NURSING,-
2018,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,-
2018,C99,DIPLOMA IN MARKETING,-
2019,C34,COMMON BUSINESS PROGRAMME,-
2019,C35,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,-
2019,C36,COMMON ICT PROGRAMME,-
2019,C38,DIPLOMA IN ARCHITECTURE,-
2019,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,-
2019,C40,AEROSPACE / MECHATRONICS PROGRAMME,-
2019,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,-
2019,C42,COMMON ENGINEERING PROGRAMME,-
2019,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,-
2019,C45,DIPLOMA IN MEDICINAL CHEMISTRY,-
2019,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,-
2019,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),-
2019,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,-
2019,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,-
2019,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,-
2019,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,-
2019,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,-
2019,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,-
2019,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,-
2019,C59,DIPLOMA IN INTERACTION DESIGN,-
2019,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,-
2019,C61,DIPLOMA IN ANIMATION,-
2019,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,-
2019,C63,DIPLOMA IN VISUAL COMMUNICATION,-
2019,C64,DIPLOMA IN SPATIAL DESIGN,-
2019,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,-
2019,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,-
2019,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,-
2019,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,-
2019,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,-
2019,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,-
2019,C72,DIPLOMA IN DENTAL HYGIENE & THERAPY,-
2019,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,-
2019,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,-
2019,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,-
2019,C80,DIPLOMA IN ENGINEERING INFORMATICS,-
2019,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,-
2019,C83,DIPLOMA IN INDUSTRIAL DESIGN,-
2019,C85,DIPLOMA IN INFORMATION TECHNOLOGY,-
2019,C87,DIPLOMA IN MECHATRONICS ENGINEERING,-
2019,C89,"DIPLOMA IN ELECTRONICS, COMPUTER & COMMUNICATIONS ENGINEERING",-
2019,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,-
2019,C94,DIPLOMA IN BUSINESS MANAGEMENT,-
2019,C96,DIPLOMA IN BANKING & FINANCE,-
2019,C97,DIPLOMA IN NURSING,-
2019,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,-
2019,C99,DIPLOMA IN MARKETING,-
2020,C33,DIPLOMA IN ANIMATION & VISUAL EFFECTS,-
2020,C34,COMMON BUSINESS PROGRAMME,-
2020,C35,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,-
2020,C36,COMMON ICT PROGRAMME,-
2020,C38,DIPLOMA IN ARCHITECTURE,-
2020,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,-
2020,C42,COMMON ENGINEERING PROGRAMME,-
2020,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,-
2020,C45,DIPLOMA IN MEDICINAL CHEMISTRY,-
2020,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,-
2020,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),-
2020,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,-
2020,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,-
2020,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,-
2020,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,-
2020,C54,DIPLOMA IN CYBERSECURITY & DIGITAL FORENSICS,-
2020,C59,DIPLOMA IN INTERACTION DESIGN,-
2020,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,-
2020,C62,DIPLOMA IN ADVANCED & DIGITAL MANUFACTURING,-
2020,C63,DIPLOMA IN VISUAL COMMUNICATION,-
2020,C64,DIPLOMA IN SPATIAL DESIGN,-
2020,C65,DIPLOMA IN PHARMACEUTICAL SCIENCE,-
2020,C66,DIPLOMA IN MOTION GRAPHICS DESIGN,-
2020,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,-
2020,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,-
2020,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,-
2020,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,-
2020,C72,DIPLOMA IN ORAL HEALTH THERAPY,-
2020,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,-
2020,C75,DIPLOMA IN INFOCOMM & MEDIA ENGINEERING,-
2020,C80,DIPLOMA IN INFOCOMM & SECURITY,-
2020,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,-
2020,C83,DIPLOMA IN INDUSTRIAL DESIGN,-
2020,C85,DIPLOMA IN INFORMATION TECHNOLOGY,-
2020,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,-
2020,C89,DIPLOMA IN ELECTRONIC & COMPUTER ENGINEERING,-
2020,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,-
2020,C94,DIPLOMA IN BUSINESS MANAGEMENT,-
2020,C96,DIPLOMA IN BANKING AND FINANCE,-
2020,C97,DIPLOMA IN NURSING,-
2020,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,-
2021,C32,DIPLOMA IN EXPERIENTIAL PRODUCT & INTERIOR DESIGN,-
2021,C33,DIPLOMA IN ANIMATION & VISUAL EFFECTS,-
2021,C34,COMMON BUSINESS PROGRAMME,-
2021,C35,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,-
2021,C36,COMMON ICT PROGRAMME,-
2021,C38,DIPLOMA IN ARCHITECTURE,-
2021,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,-
2021,C42,COMMON ENGINEERING PROGRAMME,-
2021,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,-
